Release,Milestone,Expanded Scope,Design Feature,Sub Feature,Release Rationale,Business Requirement,Notes / Use Cases,AppDev Story Points,Sprint,App Dev,Work Products/Enablement/Dependencies,Lucid,Estimate
2. 2027 Go-Live MVP,TBD,,Global Search,"Finding a person, case, provider",,The abiltiy to look up case and people details,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Guardianship Subsidy,Guardianship Subsidy,Part of Expanded Scope SOW,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Health,Add Health Insurance Modal,Unsure if these are required sections. Will be populated if it comes through the Medicaid integration,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Health,Edit End Date of Service Modal ,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Health,Health Case and Person View: Health Insurance (active/inactive),,,,,,,"7 DataGrids, 7 GET Endpoints, Complex Filtering Across All Tables at once (inclusive of next 7 rows)",,
2. 2027 Go-Live MVP,TBD,,Health,Health Case View: Agencies and Services Table,Unsure if these are required sections,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Health,Health Case View: Immunizations Tab,Unsure if these are required sections,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Health,Health Case View: Infants Affected by Substances (on ALL health info tab),Unsure if these are required sections,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Health,Health Person View: Immunizations ,Unsure if these are required sections,,,,,,,,
2. 2027 Go-Live MVP,TBD,,ICPC,Case: ICPC Outgoing,ICPC support likely required for go-live,,,,,,,,
2. 2027 Go-Live MVP,TBD,,ICPC,Person: ICPC Incoming,ICPC support likely required for go-live,,,,,,,,
2. 2027 Go-Live MVP,TBD,,ICPC,Person: ICPC Outgoing,ICPC support likely required for go-live,,,,,,,,
2. 2027 Go-Live MVP,TBD,,ICPC ,Case: ICPC Incoming,ICPC support likely required for go-live,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,ECF Connection to JARVIS,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,FCRU,,,Discovery needed,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,ICAR,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,JARVIS - Get Case Contacts,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,JARVIS - Get Case Events,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,JARVIS - Get Case Placement Info,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,JARVIS - Get Case Related Parties,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,JARVIS - Get Core Case Details,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,JARVIS - Get Extended Client Details,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,Medicaid - Outbound,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Integration,Native American Tribes,,,,,,,,,
